There Will Be Blood,Daniel Day-Lewis- Paul Dano- Ciarán Hinds-Martin Stringer
The Equalizer,Denzel Washington- Marton Csokas- Chloë Grace Moretz- David Harbour
Lone Survivor,Mark Wahlberg- Taylor Kitsch- Emile Hirsch- Ben Foster
The Cabin in the Woods,Kristen Connolly- Chris Hemsworth- Anna Hutchison-Fran Kranz
The House Bunny,Anna Faris- Colin Hanks- Emma Stone- Kat Dennings
She's Out of My League,Jay Baruchel- Alice Eve- T.J. Miller- Mike Vogel
Inherent Vice,Joaquin Phoenix- Josh Brolin- Owen Wilson-Katherine Waterston
Alice Through the Looking Glass,Mia Wasikowska- Johnny Depp- Helena Bonham Carter- Anne Hathaway
Vincent N Roxxy,Emile Hirsch- Zoë Kravitz- Zoey Deutch-Emory Cohen
The Fast and the Furious: Tokyo Drift,Lucas Black- Zachery Ty Bryan- Shad Moss- Damien Marzette
How to Be Single,Dakota Johnson- Rebel Wilson- Leslie Mann- Alison Brie
The Blind Side,Quinton Aaron- Sandra Bullock- Tim McGraw-Jae Head
La vie d'Adèle,Léa Seydoux- Adèle Exarchopoulos- Salim Kechiouche- Aurélien Recoing
The Babadook,Essie Davis- Noah Wiseman- Daniel Henshall- Hayley McElhinney
The Hobbit: The Battle of the Five Armies,Ian McKellen- Martin Freeman- Richard Armitage-Cate Blanchett
Harry Potter and the Order of the Phoenix,Daniel Radcliffe- Emma Watson- Rupert Grint- Brendan Gleeson
Snowpiercer,Chris Evans- Jamie Bell- Tilda Swinton- Ed Harris
The 5th Wave,Chloë Grace Moretz- Matthew Zuk- Gabriela Lopez-Bailey Anne Borders
The Stakelander,Connor Paolo- Nick Damici- Laura Abramsen- A.C. Peterson
The Visit,Olivia DeJonge- Ed Oxenbould- Deanna Dunagan- Peter McRobbie
Fast Five,Vin Diesel- Paul Walker- Dwayne Johnson- Jordana Brewster
Step Up,Channing Tatum- Jenna Dewan Tatum- Damaine Radcliff- De'Shawn Washington
